SIZES,CITY,jong,totwage
4,11,92,397539
6,11,744,2325306
1,11,5,10307
1,11,1,1260
1,11,3,5539
1,11,0,0
2,11,0,0
2,11,2,3400
2,11,0,0
3,11,32,113193
3,11,29,176616
3,11,16,68717
4,11,98,456463
4,11,175,925662
4,11,236,1056480
5,11,144,891357
1,11,0,0
2,11,1,5000
2,11,3,7032
3,11,16,81884
4,11,68,190814
6,11,211,627064
6,11,137,784832
1,11,0,0
2,11,0,0
2,11,10,24335
3,11,19,36935
3,11,31,75386
2,11,8,17850
3,11,28,75279
1,11,4,5600
1,11,5,17302
3,11,16,30530
3,11,24,52719
2,11,32,52454
3,11,34,74189
1,11,4,5108
1,11,7,9000
3,11,15,34142
2,11,8,19946
3,11,18,36309
1,11,8,13450
2,11,26,47700
3,11,36,58300
4,11,154,333959
1,11,4,6500
1,11,5,15678
2,11,0,0
3,11,8,13108
1,11,3,5132
3,11,51,128880
6,11,170,691771
3,11,33,124138
4,11,66,495177
1,11,1,4133
5,11,151,490470
1,11,5,13821
3,11,41,86780
1,11,3,5600
2,11,7,26899
2,11,3,5050
3,11,7,12586
3,11,11,22417
4,11,77,257379
5,11,310,736075
1,11,5,8500
2,11,4,8110
1,11,14,13640
1,11,5,10950
3,11,20,33582
4,11,163,487598
5,11,379,6742583
2,11,11,38204
4,11,351,835794
5,11,355,1625910
1,11,11,27580
1,11,8,8130
2,11,9,25485
3,11,28,52066
1,11,5,19123
1,11,6,10841
2,11,16,48987
3,11,47,86836
4,11,206,326377
2,11,12,24534
3,11,41,98420
1,11,5,10488
2,11,9,16247
4,11,125,320164
2,11,13,24819
1,11,2,5045
1,11,4,7595
2,11,4,5450
2,11,4,3600
2,11,5,9500
4,11,97,367683
1,11,5,14000
1,11,11,60975
2,11,14,40750
4,11,63,257362
4,11,124,307102
1,11,5,6384
1,11,8,25010
2,11,24,60348
2,11,9,22296
3,11,49,119367
4,11,181,592992
1,11,6,16081
1,11,8,10200
2,11,6,13250
3,11,33,93860
3,11,27,42533
1,11,6,12153
1,11,1,2154
1,11,9,18079
1,11,5,13000
1,11,6,12000
1,11,9,20513
2,11,18,55792
2,11,10,20750
2,11,2,16755
3,11,28,83967
3,11,39,159233
3,11,21,43598
3,11,66,161530
3,11,37,47281
3,11,39,245349
4,11,49,88338
4,11,123,307969
3,11,45,157428
6,11,989,7911555
1,11,3,7700
1,11,7,11601
2,11,1,3000
2,11,9,23793
3,11,47,71364
3,11,43,86552
1,11,4,18058
4,11,101,332897
4,11,37,94926
5,11,291,953583
5,11,189,579604
6,11,583,1966812
1,11,17,30400
1,11,3,4000
1,11,2,3699
2,11,3,4200
2,11,3,5974
2,11,1,1800
3,11,16,22878
3,11,17,22536
3,11,2,4000
4,11,138,308402
1,11,7,11000
1,11,9,7700
2,11,10,21237
2,11,10,26456
2,11,16,18850
2,11,25,18700
4,11,191,637530
4,11,171,382540
4,11,163,312638
