SIZES,CITY,jong,totwage,allocate,weight
1,11,4,6400,94,15.7226
1,11,6,8500,94,15.7226
1,11,45,105333,94,15.7226
1,11,19,28170,94,15.7226
1,11,8,13000,94,15.7226
1,11,8,7400,94,15.7226
1,11,13,20100,94,15.7226
1,11,5,7900,94,15.7226
1,11,37,66000,94,15.7226
1,11,2,3000,94,15.7226
1,11,0,0,94,15.7226
1,11,21,32090,94,15.7226
1,11,4,7210,94,15.7226
1,11,8,29251,94,15.7226
1,11,4,21518,94,15.7226
1,11,15,50278,94,15.7226
1,11,89,958494,94,15.7226
1,11,4,11200,94,15.7226
1,11,3,4058,94,15.7226
1,11,2,3730,94,15.7226
1,11,7,8100,94,15.7226
1,11,6,5748,94,15.7226
1,11,37,105048,94,15.7226
1,11,2,6340,94,15.7226
1,11,5,13128,94,15.7226
1,11,6,9600,94,15.7226
1,11,4,15840,94,15.7226
1,11,1,1500,94,15.7226
1,11,1,1840,94,15.7226
1,11,0,0,94,15.7226
1,11,3,4500,94,15.7226
1,11,2,3308,94,15.7226
1,11,5,9916,94,15.7226
1,11,4,8697,94,15.7226
1,11,3,5123,94,15.7226
1,11,2,3700,94,15.7226
1,11,2,3800,94,15.7226
1,11,7,16186,94,15.7226
1,11,16,29671,94,15.7226
1,11,12,27998,94,15.7226
1,11,4,9049,94,15.7226
1,11,7,21200,94,15.7226
1,11,22,52912,94,15.7226
1,11,5,7049,94,15.7226
1,11,4,6960,94,15.7226
1,11,6,8800,94,15.7226
1,11,22,30616,94,15.7226
1,11,10,21616,94,15.7226
1,11,15,43439,94,15.7226
1,11,8,13152,94,15.7226
1,11,6,11307,94,15.7226
1,11,22,50619,94,15.7226
1,11,9,14900,94,15.7226
1,11,15,17400,94,15.7226
1,11,53,307322,94,15.7226
1,11,4,9070,94,15.7226
1,11,12,15430,94,15.7226
1,11,17,25165,94,15.7226
1,11,148,518050,94,15.7226
1,11,28,144800,94,15.7226
1,11,5,11770,94,15.7226
1,11,2,7000,94,15.7226
1,11,0,0,94,15.7226
1,11,13,29875,94,15.7226
1,11,59,94937,94,15.7226
1,11,57,107625,94,15.7226
